Common Name,Scientific Name,Edible,When and Where
Chicory,Cichorium intybus,"['leaves', 'root', 'flowers']","Chicory grows in fields, disturbed soil, and along roads. The leaves are best in early spring and the root is good at any time before flowering."
Chokeberry,Aronia melanocarpa,['fruit'],"Chokeberry grows in wet, acidic soil in swamps, marshes, bogs, lakeshores, and sometimes dry, sandy soil. You can also find it in urban settings because landscapers often plant the shrubs for their glossy leaves. The berries start to ripen in mid-August and usually last until November. The longer they stay on the bush, the drier they will get, so it is best to pick them as soon as they are ripe."
Cleavers,Galium aparine,"['young leaves', 'stalk', 'seeds']",Cleavers grows in shady areas where the ground has been disturbed. It loves fertile soil like compost piles. Cleavers appears in January and grows until the late summer when it goes to seed. You can gather cleavers at any time up until it blooms.
Common amaranth,Amaranthus retroflexus,"['young leaves', 'young stem', 'seeds']","Common amaranth grows in disturbed soil and especially loves garden soil. As soon as the soil warms, amaranth will spring up. Pick the young leaves and stem in May. Once the flowers start to appear, the stems get too tough to eat. The leaves can still be eaten, but they are not as good as the young ones. The seeds will turn from green to yellow or brown when ripe and ready to gather in September to October."
Common mallow,Malva neglecta,"['leaves', 'flowers', 'young seed head']","Common mallow grows in disturbed soils and sunny spots near buildings and bushes, at the edges of paths, in lawns and fields, parking lots, and even in pavement cracks. The plant is in season from May through November."
Cow parsnip,Heracleum maximum,"['leafstalks', 'flowers', 'stem', 'seeds']","Cow parsnip grows in partial sunlight in moist soils. Look for it along stream banks, and in damp woodlands, marshes, and ditches. The stems and leafstalks are ready to harvest April to May. Collect the seeds green or after they ripen, any time July to October."
Crinkleroot,Dentaria diphylla,"['leaves', 'flowers', 'stem', 'roots']","Crinkleroot grows in fertile soil on wooded slopes and in ravines. Gather the roots at any time of the year. The leaves are best before the plant flowers. The flowers and stem should be gathered between April and May. Crinkleroot has prominently veined, broad evergreen leaves."
Curly dock,Rumex crispus,"['leaves', 'stalks', 'seeds']","Curly dock grows in fields, gardens, waste places, and disturbed soil. Gather the leaves in late winter to early spring while the edges are still rolled up. After that, the flavor becomes bitter. The stalks can be gathered at any time up until the plant starts to flower. The seeds can be gathered once the seed heads have dried on the plants and turned a rusty-red color."
Dandelion,Taraxacum officinale,"['leaves', 'flowers', 'flower buds', 'root crown', 'root']",Dandelion grows just about anywhere the soil has been disturbed. It reliably appears from fall to summer.
Daylily,Hemerocallis fulva,"['young shoots', 'flowers', 'flower pods', 'corms']","Daylily comes up in old fields, gardens, roadsides, and the banks of streams. They start to appear in early spring and last for a few weeks into the summer."
Elderberry,Sambucus canadensis,"['flowers', 'fruit']","Elderberry grows in moist woods, fields, and roadsides. Its blooms start in late June and last for a couple of weeks. Once the flowers give way to the berries, you will want to watch them for a couple of weeks. The berries take several weeks to ripen and are a dark purple, almost black when ripe. These elderberries are almost ripe. The blooms of elderberry have a clean, fresh fragrance."
Evening primrose,Oenothera biennis,"['first-year taproot', 'leaves from the stem', 'young stalks']","Evening primrose grows in sunny, dry, open places, old fields, gardens, at the edges of fields, and in disturbed soil. The taproot can be gathered at any time until the plant starts to flower, and then it gets too tough. Gather the young stalk early in the second year of growth. Start to gather the flower buds and flowers in June. They usually bloom until October. The seeds can be gathered in late October. The flowers, leaves, root, and seeds of evening primrose are edible."
False solomon’s seal,Maianthemum racemosum,"['fruit', 'shoots']",False Solomon’s seal is usually a woodland species that likes to grow at the edge of forests and on the sides of roads where trees and bushes grow. It is also sometimes planted as an ornamental in gardens with partial shade. Collect the shoots in spring before the leaves unfurl. Harvest the fruit once it has turned red.
Field garlic,Allium vineale,"['leaves', 'bulbs']","Field garlic grows in fields, disturbed soil, and open woods. It starts coming up in the fall and can be harvested during the winter and spring. Be extremely careful about harvesting alliums from vacant lots in the city, because if there are heavy metals in the soil, they will have absorbed those pollutants."
Field mustard,Brassica rapa,"['flowers', 'seeds', 'seedpods', 'leaves', 'roots']","Field mustard starts appearing in September and grows until late May in fields and open meadows. The greens are best before the plant starts to flower, when they will develop an unpleasant bitterness. Once established, the plant self-seeds prolifically."
Field thistle,Cirsium discolor,"['young leaves', 'stalk', 'root']","Field thistle grows in pastures, fields, and disturbed soil. It starts appearing in the wintertime and grows until the fall. Field thistle spends one or more years as a basal rosette, storing energy, before sending up a flower stalk and dying. The midribs of the leaves are at their best in the spring and fall. The stalk can be gathered in the spring and summer at any time up until the plant produces a flower. The root should be gathered in the fall and should not have a stalk. Every two years, field thistle starts as a basal rosette."
Garlic mustard,Alliaria petiolata,"['young shoots', 'young leaves', 'flower buds']",Garlic mustard grows in rich soil in the understory of forests. The best time to gather is March through May.
Ginkgo,Ginkgo biloba,['nuts'],"Ginkgo is a graceful ornamental tree that is planted in parks, yards, and along streets. Gather the fruit in the autumn when they fall to the ground. You will often find them under the tree after a storm."
Glasswort,Salicornia europaea,['stems'],"Glasswort grows in salt flats that are flooded from time to time. The best time to gather the stems is in March to June when the plants are young and tender. Later, the core gets woody, but you can still chew on the softer part of the stem."
Goldenrod,Solidago,"['leaves', 'flowers']","Goldenrod grows in full to partial sun. Look for it on hillsides, roadsides, in city parks—any open area with disturbed soil. Collect the tops of just- opened flowers plus several inches of the leafy stems when the plants are just beginning to bloom in August to September."
Gooseberry,Ribes,['fruit'],"Gooseberries grow along meadow borders, stream banks, and as garden escapees along property edges that are adjacent to woodlands. They are one of the earliest fruits to ripen, usually in late spring or early summer, around the same time as strawberries."
Greenbrier,Smilax,"['young leaves', 'young tips', 'roots']","Greenbrier appears in early to mid-spring and grows until fall. The best time to gather the leaves and tips is in spring, when they are green and tender. The roots can be gathered at any time."
Hackberry,Celtis laevigata,['fruit'],"The hackberry tree grows along sidewalks in cities and in river valleys along floodplains. Gather hackberry fruits starting in October. They will keep ripening till January. My favorite time to gather them is in December and January, when they are the sweetest."
Hawthorn,Crataegus,['fruit'],"Hawthorn grows in full sun or partial shade, and loves open hillsides, pastures, and stream banks. It is also widely planted in city parks as a decorative shrub or tree. Gather the fruit when it is fully ripe in early summer."
Henbit,Lamium amplexicaule,"['leaves', 'stem', 'flowers']","Henbit grows in full sun and in shady spots. It thrives in disturbed soils, and I find more of it growing as a weed in parks, gardens, lawns, and on farms than I do in wilderness areas. It starts to appear in early fall as the days start to cool. It grows all winter in the South until warm spring weather turns it stringy and bitter. Pinkish purple flowers project from the tops of the henbit stems."
Hickory,Carya,"['nuts', 'bark']","Hickory grows in forests, open fields, at the edge of woods, and in any well- drained soil. The nuts start to form in early summer but are hard to see until they are bigger in August. Start looking for hickory nuts in late September. When nuts mature, usually in October, the nut’s outer husk will split open. The bark of the shagbark hickory is the best to use. Gather it at any time."
Hoary bittercress,Cardamine hirsuta,"['leaves', 'stems', 'flowers']","Hoary bittercress grows any place where the soil is bare or has been disturbed. It is a common weed in gardens, lawns, and sidewalks. The best time to collect it is January through March."
Honeysuckle,Lonicera japonica,['flowers'],"Honeysuckle grows in fields, roadsides, forests, and disturbed areas. It starts to bloom in May and flowers sporadically through the summer, depending on rainfall. The sweet nectar of honeysuckle blooms can be made into a heavenly syrup."
Japanese knotweed,Polygonum cuspidatum,['young shoots'],"Japanese knotweed loves disturbed and rocky soils. It will grow in both partial shade and full sun. It favors urban areas like parks, but you will also find it alongside roads in the country. Collect Japanese knotweed shoots in March when they are thick and unbranched."
Juneberry,Amelanchier,['fruit'],"Juneberries grow in full to partial sunlight in lakesides, woodlands, and parks. Because of their attractive early spring flowers and beautiful fall foliage, they are frequently planted as ornamentals. Gather juneberries in late spring to early summer. Because all the fruit doesn’t ripen simultaneously, you can come back repeatedly and extend the harvest over several weeks. You can gather the slightly unripe berries as well as the ripe ones."
Juniper,Juniperus communis,"['berries', 'needles']","Juniper grows in poor, rocky, mountainous soil. The berries start to ripen in November and persist into winter."
Kousa dogwood,Cornus kousa,['fruit'],"Landscapers love to plant this tree in parks, botanical gardens, and in people’s yards. Gather the fruit September through October. The quality of the fruit can vary from tree to tree. The fruit of the kousa dogwood should be peeled to enjoy the pulp. Kousa dogwood in bloom is a spectacular sight."
Kudzu,Pueraria montana,"['young leaves', 'flowers', 'roots']","Kudzu grows in fields, woods, and along roads. It lies dormant during the winter, sprouts out in late spring, and grows through the summer. Gather the young leaves in late spring before they get tough. The flowers bloom in August and last for a couple of weeks. The roots are best in the fall and winter."
Lady’s thumb,Polygonum persicaria,['leaves'],"Lady’s thumb grows as a weed in gardens, parks, farmlands, and fields. It loves a combination of disturbed soil and full to partial sun. Collect lady’s thumb leaves any time from mid-spring through early fall. Some patches of lady’s thumb produce stronger-tasting leaves than others. Taste one before collecting more to see if you like the flavor."
Lamb’s quarters,Chenopodium album,"['leaves', 'flowers', 'seeds']","Lamb’s quarters comes up in gardens, backyards, and sunny, disturbed soil. Start looking for it in early March. By May, it is tough and starting to bolt."
Loomis’s mountain mint,Pycnanthemum loomisii,['leaves'],"Loomis’s mountain mint grows in open fields, along roadsides, and at the edge of woods. It appears in May, and then grows all summer and into October. Gather the leaves at any time during the summer."
Marsh marigold,Caltha palustris,"['young leaves', 'flower buds', 'stalks']","Marsh marigold grows in swamps, marshes, and wet areas in shade or part shade but rarely in full sun. Gather the young leaves and stalks in March when the plant is only 3 to 7 inches high and before any flowers have opened. Flower buds should also be gathered in March before the flowers open."
Mayapple,Podophyllum peltatum,['fruit'],"Mayapples grow in groups in moist, open woods. Collect only ripe mayapples in late summer, because the green unripe ones are toxic. The fruit is challenging to collect because not every plant produces fruit, some years are better than others, and animals usually gobble them up first."
Mayhaw,Crataegus aestivalis,['fruit'],"Mayhaw grows in bayous, low-lying wet areas, and wetlands in the Deep South. The fruit starts to ripen toward the end of April and is ready to pick in May."
Maypop,Passiflora incarnata,['fruit'],"Maypop grows in old fields and climbs along fences. Start looking for the ripe fruit in September, when the skin gets wrinkled. My favorites are the ones with yellow skin, before they turn orange."
Milkweed,Asclepias syriaca,"['seedpods', 'seeds', 'young shoots', 'flowers']","Milkweed prefers sunny, open fields. Collect the shoots from mid- to late spring when they are no more than a foot or so high and the stems are still tender enough to snap easily. Collect the flowers in June and July while they are still fully green and look like miniature broccoli florets. Collect the pods and their white innards before they have started to get fluffy in August."
Mulberry,Morus rubra,['fruit'],"Mulberries usually are ripe starting in May and lasting into June. Mulberries grow in open woods, along field edges, in parks, and along streets."
New jersey tea,Ceanothus americanus,['leaves'],"New Jersey tea grows in sandy, rocky soils in open fields, along roadsides, and in waste areas. You can gather the leaves any time, but the flavor is the best when the plant blooms, beginning in early July."
Oak,Quercus,['nuts (acorns)'],"Oaks grow in many different kinds of habitat, from floodplains to ridges and mixed hardwood forests. Gather acorns as soon as they start falling to the ground in late summer and fall. The trees do not produce the nuts consistently every year. Some years it’s easy to collect a large amount quickly, while other years the nuts are scarce. You want to rescue your acorns from the ground before the bugs or squirrels get to them, so don’t wait too long to gather."
Oxeye daisy,Chrysanthemum leucanthemum,"['leaves', 'young stems', 'unopened flower buds']","Oxeye daisy grows in open fields, roadsides, and disturbed soil. The leaves and young stems are at their best from May into June. Gather the flower buds in mid to late May. Once the flower blooms and dies, the flavor of the leaves becomes bitter. The blooms of oxeye daisy are classic daisy flowers in shape and color. Oxeye daisies rise above their compact leaves by midsummer."
Pawpaw,Asimina triloba,['fruit'],"Pawpaw grows in moist, fertile soil along riverbanks, streams, floodplains, and occasionally in the understory of the forest. Start looking for ripe, yellow pawpaw fruit in August."
Pennywort,Hydrocotyle bonariensis,"['leaves', 'stems']","Pennywort grows on dune swales, salt marsh edges, and the upper edges of the beach. The best time to gather pennywort is March through May."
Pickerelweed,Pontederia cordata,"['young leaves', 'seeds']","Pickerelweed grows in very wet soil, usually in shallow, slow-moving freshwater. You’ll find it at the edges of ponds and lakes, and in marshes and bogs. Pickerelweed’s showy flowers bloom from June to October. But come back earlier the following year to collect the leaves, either while they are still partially curled up like scrolls or very recently unfurled. Collect the seeds from August to November. As with any plant that grows in water, only harvest from unpolluted waters."
Pineapple weed,Matricaria matricarioides,"['leaves', 'flowers']","Pineapple weed grows in full sun in open fields, lawns, driveways, and roadsides. Gather it while it is flowering, from July to October."
Plantain,Plantago,"['leaves', 'seed heads']","The best time to collect young, tender, nonstringy plantain leaves is in early spring to mid-spring, but you can harvest the younger leaves from spring through midsummer. Collect the seed heads of common plantain when they are greenish brown. Also taste the seed heads at different times to find your favorite time to harvest. It’s not really worth collecting English plantain seeds because the seed heads are small and the harvest is labor-intensive."
Pokeweed,Phytolacca americana,['young shoots'],"Pokeweed loves to grow in disturbed soil. It appears in early spring and grows until fall. The best time to gather young pokeweed shoots is in early spring. These pokeweed shoots are perfect for harvesting. Once the pokeweed plant is mature, it is not safe for eating."
Prickly pear,Opuntia humifusa,"['fruits', 'pads', 'seeds']","Prickly pear grows principally in dry, sunny areas with sandy or rocky soil. Gather the young pads in May and the fruits in September."
Purple dead nettle,Lamium purpureum,"['leaves', 'stems', 'flowers']",Purple dead nettle grows in any ground that is bare or has been disturbed. It starts appearing after henbit in early winter and grows until late spring. You cannot ask for a more reliable plant.
Purslane,Portulaca oleracea,"['leaves', 'stems']","Purslane thrives in the warm to hot weather of late spring and summer of the Southeast. Look for it in sunny places with disturbed soil, especially in or near gardens, parks, and farmlands. Its succulent leaves and stems enable it to flourish even when summer droughts and heat have taken their toll on other leafy green edibles. Purslane loves to come up in your garden during the summer."
Ramps,Allium tricoccum,"['leaves', 'stems', 'bulb', 'seeds']","Ramps grow in moist, rich woods in colonies. They start to appear in mid- spring and their season lasts till mid-May."
Red bay,Persea borbonia,['leaves'],"You’ll find red bay grows near the ocean beaches in our region. The leaves of red bay are evergreen, but I find the flavor is best during the warmer months."
Redbud,Cercis canadensis,['blooms'],The redbud tree grows just about anywhere and it self-seeds well. Landscapers often use the tree in parks. The blooms start to appear in mid to late March and last for a few weeks. The strong pink blossoms of the redbud tree are a harbinger of spring. A redbud tree in full bloom is a beautiful sight.
Red clover,Trifolium pratense,['flowers'],"Red clover likes open, sunny areas and can often be found escaped from farm fields. Farmers often plant it as a cover crop because, like other plants in the family Fabaceae, red clover can fix atmospheric nitrogen in the soil and make it biologically available to other plants as a nutrient. It blooms prolifically in mid- to late spring or early summer, then slows down and will bloom sporadically depending on rainfall."
Rose,Rosa,"['flowers', 'hips']","Wild roses love sunny areas at the edge of woods, in flower beds, in disturbed soil, along fence lines, and in open fields. The flowers bloom in late spring and are easy to find because of their strong, sweet fragrance. The rose hips are not ready until late fall in the Southeast. They will be dark red and slightly soft when ripe."
Salsify,Tragopogon dubius,"['root', 'leaves', 'flowers']","Salsify likes full sunshine and disturbed soils. It grows in fields, along roadsides, and near the farms and gardens from which it escapes. Collect salsify leaves and crown (whole aboveground part of the plant) in early spring. When the flower stalks of this biennial plant have just begun to shoot up in April and are 1 foot or less high and still tender, cut the shoots off near the base. The unopened flower buds and top few inches of the flower stalks are ready to eat in early summer. Dig the root from fall through early spring."
Saltwort,Batis maritima,['leaves'],Saltwort grows in salt marshes that are flooded from time to time. The best time to gather saltwort is in March and April.
Sassafras,Sassafras albidum,"['leaves', 'root']","Sassafras grows in old fields, open woodlands, bottomlands, and thickets. The best time to gather the leaves and roots is May through October."
Sea purslane,Sesuvium portulacastrum,['young leaves'],"Sea purslane grows in salt marshes, sand flats, and the upper part of sandy beaches. The best time to gather the young leaves is March to early April."
Sea rocket,Cakile edentula,['leaves'],"Sea rocket grows along beaches between the dunes and the high tide line. The best time to gather is in March. By April, sea rocket has started to flower and the flavor of the leaves is too strong. This sea rocket is growing on a beach on the Atlantic Coast."
Sheep sorrel,Rumex acetosella,"['leaves', 'stems']","Sheep sorrel grows in fields, pastures, gardens, and disturbed soil. It loves acid soil. Where the ground is fertile, it will be fuller and more succulent. Sheep sorrel grows year-round, but its leaves and stems are best in spring and fall."
Shepherd’s purse,Capsella bursa-pastoris,"['leaves', 'stalk']","Shepherd’s purse grows in full sun in disturbed soils. It is common in urban lots and gardens, as well as along rural roadsides. Gather the rosette leaves from March until the plants begin to flower. Gather the tender flower stalks when they are just starting to shoot up."
Shiso,Perilla frutescens,"['leaves', 'seeds']","Shiso grows along trails, roads, at the edge of woods, and in disturbed soil in mostly shady areas. It will start to come up in late June when summer starts to get hot."
Solomon’s seal,Polygonatum biflorum,"['rhizomes', 'young shoots']","Solomon’s seal grows in rich, moist wooded areas. Gather the rhizomes in early April and the young shoots in early May."
Sow thistle,Sonchus oleraceus,"['flower stalk', 'florets', 'young leaves']","Sow thistle grows any place the soil has been disturbed. The leaves of sow thistle should be gathered in March and April while they are still young and tender. Once the plant sends up a stalk, the leaves become tough and bitter. The stalk can be gathered at any time until the plant starts to flower. Gather the florets any time before they open up."
Spicebush,Lindera benzoin,"['leaves', 'fruit', 'twigs']","Spicebush grows in woodlands where the soil is rich and moist, often along streams. The twigs may be used throughout the year. Gather the fresh leaves throughout the summer. You can use the fresh leaves and twigs of both male and female spicebush shrubs. The ripe berries are in season from late summer through early fall."
Spiderwort,Tradescantia virginiana,"['flowers', 'leaves', 'stems', 'seeds']","Spiderwort comes up in gardens, open woods, and disturbed areas. The young leaves appear in early spring and the flowers start blooming in late spring to early summer."
Sumac,Rhus,"['fruit', 'shoots']","Smooth sumac grows in old fields, disturbed soil, at the edge of woods, and along roads. The shoots of first-year plants, which are small and not woody, should be gathered from April to May. The fruits usually develop the white bloom starting in July. Rain often washes away the ascorbic acid, so be sure to watch the fruit clusters for the right time to harvest."
Violet,Viola,"['leaves', 'flowers']","Violets grow in yards and disturbed soil. They start to bloom in mid-spring and grow until the fall. Gather the flowers and leaves at any time. The leaves are best while they are still young. Once the heat of summer hits them, they get stringy."
Virginia pine,Pinus virginiana,"['green pine needles', 'young tips', 'buds', 'pollen']","While pine trees do grow in moist and dry soil in every type of terrain, they grow best in acidic soil. They stay evergreen all year, but the flavor and fragrance of the needles are best in the fall, winter, and spring."
Wapato,Sagittaria latifolia,"['tubers', 'young leaves', 'leafstalks', 'immature flower stalks']","Wapato grows in mud in shallow, fresh water. The tubers can be harvested from late summer through early spring. Gather the leaves and leafstalks when the leaves are still furled. Harvest the flower stalks when they begin to shoot up but before the flowers open."
Watercress,Nasturtium officinale,['leaves'],"Like all plants growing in water, watercress is only as clean as the water in which it is growing. That is one reason why wild watercress is so hard to find. Often, the water will be polluted with runoff from farm animals or is full of parasites that can make you extremely sick. Have the water tested before harvesting. Some people say that you can boil watercress to remove any impurities, but I prefer watercress raw so I can enjoy the crunchy texture. In the Southeast, watercress appears in November. Look for watercress in ditches, shallow ponds, and spring-fed streams. Watercress can be harvested in the Southeast from November until April when it starts to bloom. After that, the flavor is too strong."
White clover,Trifolium repens,['flower heads'],"Look for white clover in sunny fields and lawns. Gather white clover any time it is in bloom, from April to October. The blooms of white clover are like tiny pom-poms."
Wild carrot,Daucus carota,"['roots', 'young leaves', 'seeds']","Look for wild carrot in sunny fields, in disturbed soils, city lots, and along roadsides. You will also commonly find it in gardens and parks. Gather the leaves from spring through fall. The roots are ready to harvest from fall through early spring. The seeds are ready from late summer through early fall, but they have the best flavor when they are either green or newly turned brown."
Wild ginger,Asarum canadense,"['leaves', 'stems', 'rhizomes']",Wild ginger grows in partial to full shade. It loves moist woodlands. You can collect wild ginger from spring through fall. Wild ginger looks nothing like the cultivated variety.
Wild grape,Vitis,"['fruit', 'leaves']","Wild grapes grow in full to partial sun where they can climb on something, be it a tree or a fence. They frequently grow in and on thickets, by streams and riverbanks, and near the shore. Collect grape leaves when they are big enough to stuff but the veins haven’t become too tough, usually in late spring to early summer. The fruit is ripe from late summer into fall."
Wild lettuce,Lactuca,['leaves'],"Wild lettuce grows in disturbed soil, fields, forests, and gardens. It starts appearing in the fall and slowly grows during the winter, before it really gets going in the spring. The best time to gather wild lettuce is in late winter and early spring."
Wild onion,Allium canadense,"['leaves', 'bulbs', 'flowers', 'seeds']","Wild onions grow in fields, disturbed soil, lawns, and open woods. It starts coming up in the fall and can be harvested during the winter and spring. Be extremely careful about harvesting alliums from vacant lots in a city, because they absorb heavy metals from the soil."
Wild pear,Pyrus pyraster,['fruit'],"Wild pear trees grow in open woods, at the edge of forests, and along fencerows. Start checking on the pears in September. They usually do not ripen until early November. The fruit takes a long time to ripen. The fruit of a wild pear tree is small. The leaves and flowers of wild pear look just like those of a cultivated pear tree."
Wild plum,Prunus americana,['fruit'],Wild plums grow in full to partial sun and love abandoned fields and roadsides. They also grow in hollows and open woodlands. Collect the ripe fruit from August to October. The fruit of this wild plum tree is not ripe yet. The fruit will turn a dark red when ripe. The pale pink flowers of this wild plum tree are in full bloom.
Wild rice,Zizania aquatica,['seeds'],"Wild rice grows in tidal freshwater and brackish marshes, shallow ponds and lakes, rivers, and nontidal marshes. It is usually found in water 1 to 3 feet deep, but it will grow in water up to 5 feet deep. Clean, clear water with a slow current is important to the growth of wild rice because the grains have very little stored energy compared to tubers or rhizomes of aquatic perennials. A wild rice seedling needs to receive enough sunlight to photosynthesize. Most people think of harvesting wild rice in the fall. It actually is ready to harvest in late summer. Start looking for patches or fields of it in early August. Look for husks that are full, and grains that are small and green. You also want to be sure that there is a good quantity of rice kernels that can be harvested in a location or you will be wasting your time. Wild rice usually ripens in late August to early September. There are a great many factors affecting when wild rice ripens—the temperature of the water, the current, how short or tall a plant is, and the type of mud all contribute. Wild rice often grows in a tidal freshwater marsh."
Wild strawberry,Fragaria virginiana,['fruit'],"Wild strawberries like to grow in open, sunny places. They can be found in fields, at the edges of woods, and along roads. Wild strawberries are around for two weeks and then they are done. When they start to bloom, watch them carefully."
