source,name,edibles,llm_flag,len_edibles,len_name
0025_a,Corylus americana,nuts,0.0,1,2
0025_b,Quercus,acorns,1.0,1,1
0026_b,Quercus rubra,nuts,0.0,1,2
0026_b,Quercus alba,nuts,0.0,1,2
0027_a,Quercus macrocarpa,nuts,0.0,1,2
0027_a,Quercus michauxii,nuts,0.0,1,2
0027_b,Quercus montana,nuts,0.0,1,2
0027_b,Quercus virginiana,nuts,0.0,1,2
0028_a,Rosa,"hips,flower petals",1.0,2,1
0028_b,Citrus trifoliata,oranges,1.0,1,2
0029_a,Diospyros virginiana,"fruit,pulp",1.0,2,2
0029_b,Diospyros texanum,fruit,1.0,1,2
0030_a,Asimina triloba,fruit,1.0,1,2
0030_b,Nyssa ogeche,fruit,1.0,1,2
0031_a,Malus,fruit,1.0,1,1
0031_b,Malus domestica,apples,1.0,1,2
0032_a,Prunus,"fruit,peels(oil)",1.0,2,1
0033_b,Sorbus,fruit,1.0,1,1
0034_a,Aralia spinosa,shoots,1.0,1,2
0034_b,Celtis occidentalis,"fruit,nut,inner cambium",0.0,3,2
0035_a,Celtis laevigata,"fruit,nuts,inner cambium",1.0,3,2
0035_b,Prunus serotina,cherries,1.0,1,2
0036_a,Prunus pensylvanica,fruit,1.0,1,2
0036_b,Prunus avium,cherries,1.0,1,2
0037_b,Elaeagnus angustifolia,fruit,1.0,1,2
0038_a,Cornus mas,fruit,1.0,1,2
0038_b,Sassafras albidum,"young leaves,roots,bark",1.0,3,2
0039_a,Sideroxylon lanuginosum,fruit,1.0,1,2
0039_b,Amelanchier,berries,1.0,1,1
0040_a,Crataegus,fruit,1.0,1,1
0041_b,Cercis canadensis,"flowers, newly formed young pods",1.0,2,2
0042_a,Gymnocladus dioicus,"immature seeds,nuts (coffee)",1.0,2,2
0042_b,Prosopis glandulosa,seeds (flour),1.0,1,2
0043_a,Gleditsia triacanthos,fruit (pulp),1.0,1,2
0043_b,Robinia pseudoacacia,"fruit,seeds,flowers",0.0,3,2
0044_a,Robinia viscosa,"fruit,seeds,flowers",1.0,3,2
0044_a,Robinia hispida,"fruit,seeds,flowers",1.0,3,2
0044_a,Robinia neomexicana,"fruit,seeds,flowers",1.0,3,2
0044_b,Tilia americana,"leaves,buds,cambium,flowers,seeds",1.0,5,2
0045_a,Populus tremuloides,cambium,1.0,1,2
0045_b,Betula,"sap (syrup),twigs (tea),bark (tea),cambium",1.0,4,1
0045_b,Betula papyrifera,"sap (syrup)sap (syrup),twigs (tea),bark (tea),cambium",1.0,4,2
0046_a,Betula nigra,"sap (syrup),twigs (tea),bark (tea),cambium",0.0,4,2
0046_a,Betula alleghaniensis,"sap (syrup),twigs (tea),bark (tea),cambium",0.0,4,2
0046_a,Betula lenta,"sap (syrup),twigs (tea),bark (tea),cambium",0.0,4,2
0046_b,Acer,sap (syrup),1.0,1,1
0046_b,Acer saccharum,sap (syrup),1.0,1,2
0047_a,Acer rubrum,sap (syrup),0.0,1,2
0047_a,Acer saccharinum,"sap (syrup),fruit",0.0,2,2
0047_a,Acer negundo,sap (syrup),0.0,1,2
0047_b,Ulmus rubra,"inner bark,cambium,unrip fruit,seeds",0.0,4,2
0048_a,Ulmus pumila,"inner bark,cambium,unrip fruit, seeds",0.0,4,2
0049_a,Epigaea repens,flower,1.0,1,2
0049_b,Gaultheria hispidula,berries,1.0,1,2
0050_a,Vaccinium,fruit,1.0,1,1
0050_a,Vaccinium macrocarpon,fruit,1.0,1,2
0050_a,Vaccinium oxycoccus,fruit,1.0,1,2
0050_b,Vaccinium vitis-idaea,berries,1.0,1,2
0051_a,Gaultheria procumbens,berries,1.0,1,2
0051_b,Arctostaphylos uva-ursi,berries,1.0,1,2
0052_a,Arctous rubra,berries,1.0,1,2
0052_a,Arctous alpina,berries,1.0,1,2
0053_a,Sambucus racemosa,"berries,flowers",1.0,2,2
0053_b,Shepherdia argentea,fruit,1.0,1,2
0054_a,Shepherdia canadensis,berries,1.0,1,2
0054_b,Elaeagnus umbellata,berries,1.0,1,2
0055_a,Vaccinium trilobum,berries,1.0,1,2
0055_b,Viburnum edule,berries,1.0,1,2
0057_a,Mahonia trifoliata,berries,1.0,1,2
0057_b,Lycium barbarum,"berries,young leaves",1.0,2,2
0058_a,Lycium carolinianum,"fruit,leaves",1.0,2,2
0058_b,Berberis vulgaris,"fruit,leaves",1.0,2,2
0059_a,Berberis thunbergii,"fruit,leaves",1.0,2,2
0059_a,Lindera benzoin,"fruit,twigs (tea),leaves",1.0,3,2
0059_b,Ribes triste,berries,1.0,1,2
0060_a,Ribes glandulosum,berries,1.0,1,2
0060_b,Aronia arbutifolia,fruits,1.0,1,2
0061_a,Ilex vomitoria,leaves (tea),1.0,1,2
0062_a,Vaccinium stamineum,berries,1.0,1,2
0062_b,Elaeagnus commutata,berries,1.0,1,2
0063_a,Cornus stolonifera,berries,1.0,1,2
0063_b,Viburnum,berries,1.0,1,1
0063_b,Viburnum lentago,berries,1.0,1,2
0064_a,Viburnum cassinoides,berries,0.0,1,2
0064_a,Viburnum nudum,berries,0.0,1,2
0064_a,Viburnum prunifolium,berries,0.0,1,2
0064_b,Viburnum rufidulum,berries,0.0,1,2
0064_b,Viburnum obovatum,berries,0.0,1,2
0065_a,Viburnum alnifolium,berries,1.0,1,2
0065_b,Prunus virginiana,fruit,1.0,1,2
0066_b,Sambucus canadensis,"berries,flowers",1.0,2,2
0067_a,Ribes,berries,1.0,1,1
0067_b,Ribes americanum,berries,1.0,1,2
0068_a,Ribes odoratum,fruit,1.0,1,2
0068_b,Lonicera caerulaea,berries,1.0,1,2
0069_a,Callicarpa americana,berries,1.0,1,2
0069_b,Aronia melanocarpa,berries,1.0,1,2
0070_a,Rhamnus caroliniana,berries,1.0,1,2
0070_b,Gaylussacia baccata,berries,1.0,1,2
0071_a,Vaccinium arboreum,berries,1.0,1,2
0071_b,Vaccinium corymbosum,berries,1.0,1,2
0072_b,Vaccinium elliotti,berries,1.0,1,2
0072_b,Vaccinium uliginosum,berries,1.0,1,2
0073_a,Rhus,"shoots,berries",0.0,2,1
0073_b,Rhus coppalina,"shoots,berries",1.0,2,2
0073_b,Rhus typhina,"shoots,berries",1.0,2,2
0074_a,Rhus glabra,"shoots,berries",0.0,2,2
0074_b,Rhus aromatica,berries,1.0,1,2
0075_a,Zanthoxylum americanum,"fruit,leaves",1.0,2,2
0075_b,Amorpha canescens,leaves (tea),1.0,1,2
0076_a,Comptonia peregrina,leaves (tea),1.0,1,2
0077_a,Myrica gale,"leaves (tea), flower buds, fruit",1.0,3,2
0077_b,Myrica pensylvanica,leaves,1.0,1,2
0078_a,Ledum groenlandicum,leaves (tea),1.0,1,2
0078_b,Chamaedaphne calyculata,leaves (tea),1.0,1,2
0079_a,Vitis,"tips,young leaves,fruit",0.0,3,1
0079_b,Ampelopsis cordata,"tendrils,young leaves,grapes",1.0,3,2
0080_b,Vitis rotundifolia,fruit,1.0,1,2
0081_a,Ampelopsis arborea,fruit,1.0,1,2
0081_b,Smilax,"tubers,young shoots, young greens",1.0,3,1
0082_b,Celastrus scandens,"bark,shoots",1.0,2,2
0083_a,Lonicera japonica,flowers,1.0,1,2
0083_b,Parthenocissus quinquefolia,"inner bark,shoots",1.0,2,2
0083_b,Parthenocissus vitacea,"inner bark,shoots",1.0,2,2
0084_a,Pueraria lobata,"rootstocks,shoots,tender young leaves,flowers,flower buds",1.0,5,2
0084_b,Wisteria,flowers,1.0,1,1
0085_a,Scirpus validus,"rhizome tips,stem bases,pollen,seeds",0.0,4,2
0085_b,Typha validus,"stems,tips,roots,seeds",1.0,4,2
0086_a,Zizaniopsis miliaceae,"stem bases,shoots,seeds",1.0,3,2
0086_b,Zizania palustris,seeds,1.0,1,2
0086_b,Zizania aquatica,seeds,1.0,1,2
0087_a,Bolboschoenus fluviatilis,"young corms,shoot tips,stem",0.0,3,2
0087_b,Typha,"rhizome,lateral shoots,green flower,pollen",1.0,4,1
0088_b,Sparganium eurycarpum,"tubers,shoots,heart,tender flower shoot,immature flower bud clusters",1.0,5,2
0089_a,Acorus,"rhizomes,hearts,immature flower",0.0,3,1
0089_b,A. americanus,"rhizomes, young hearts of leaf cluster bases, young spikes of immature flower buds",1.0,3,2
0090_b,Vallisneria americana,"fruits,leaves",1.0,2,2
0091_a,Nasturtium officinale,greens,1.0,1,2
0091_b,Sium suave,"roots, stems, leaves,shoots",0.0,4,2
0093_a,Berula erecta,greens,0.0,1,2
0093_b,Berula pusilla,tender greens,1.0,1,2
0094_a,Veronica americana,tips,1.0,1,2
0094_b,Alternanthera philoxeroides,"young leaves,stem tips",1.0,2,2
0095_a,Trapa natans,nuts,1.0,1,2
0095_b,Hydrocotyle umbellata,"leaves,stems",1.0,2,2
0096_a,Sagittaria latifolia,tubers,1.0,1,2
0096_b,Sagittaria rigida,"tubers,shoots,leaves,shoots",0.0,4,2
0097_a,Alisma plantago-aquatica,"corms,young leaves,shoots",1.0,3,2
0097_b,Brasenia schreberi,young leaves,1.0,1,2
0098_a,Nelumbo lutea,"tubers,nuts,leaves",1.0,3,2
0098_b,Nuphar,"rhizomes,seeds",1.0,2,1
0099_a,Peltandra virginica,rootstock,1.0,1,2
0099_b,Colocasia esculenta,corms,1.0,1,2
0100_a,Eichhornia crassipes,young leaves,1.0,1,2
0100_b,Pontederia cordata,"shoot,fruit,seed",1.0,3,2
0101_a,Allium,"bulbs,leaves,scapes,buds,flowers",1.0,5,1
0102_a,Allium vineale,"bulbs, leaves, scapes, flower buds, green pods",1.0,5,2
0102_b,Allium anadence,bulbs,1.0,1,2
0103_a,Allium schoenophrasum,"bulbs,tender leaves,flowers",1.0,3,2
0103_b,Allium sativum,"bulbs,young greens,scapes",1.0,3,2
0104_a,Allium canadense,"bulbs,greens",1.0,2,2
0104_b,Allium textile,"bulbs,leaves",1.0,2,2
0105_a,Allium drummondii,"bulbs,leaves",1.0,2,2
0105_a,Allium cernuum,"bulbs,leaves",1.0,2,2
0105_b,Allium stellatum,"bulbs,leaves",1.0,2,2
0106_b,Nothocalais cuspidata,"roots,leaves,flowers,flower stalk",1.0,4,2
0106_b,Tragopogon,"roots,leaves,shoots,flower buds,flower stalk",1.0,5,1
0107_a,T. pratensis,"roots,tender green parts",1.0,2,2
0107_b,Tradescantia,"leaves,hearts,young stems,flowers,flower buds",1.0,5,1
0108_a,Hemerocallis fulva,"tubers,heart,shoots,flower buds,flowers",1.0,5,2
0108_b,Cyperus esculentus,tubers,1.0,1,2
0109_a,Cyperus rotundus,tubers,1.0,1,2
0109_b,Leucocrinum montanum,"roots,flowers",1.0,2,2
0109_b,Arundinaria gigantea,"shoots,seeds",1.0,2,2
0110_a,Acorus calamus,"shoots, seeds",1.0,2,2
0110_b,Phragmites communis,shoots,1.0,1,2
0111_a,Oryzopsis hymenoides,seeds,1.0,1,2
0111_b,Phalaris caroliniana,seed,1.0,1,2
0112_a,Hordeum pusillum,seeds,1.0,1,2
0112_b,Liatris punctata,roots,1.0,1,2
0113_a,Plantago maritima,"leaves,flower,stalks",1.0,3,2
0113_b,Yucca,"shoots,flower petals,fruit,seed",1.0,4,1
0114_b,Nothoscordum bivalve,bulbs,1.0,1,2
0115_a,Triglochin maritima,"heart,shoots",1.0,2,2
0115_b,Muscari,"bulb,flower",1.0,2,1
0116_a,Camassia,"bulbs,shoots,greens",0.0,3,1
0116_b,Camassia angusta,bulbs,1.0,1,2
0117_a,Aplectrum hyemale,tubers,0.0,1,2
0117_b,Tipularia discolor,tubers,1.0,1,2
0118_a,Asarum canadense,rhizomes,1.0,1,2
0118_b,Erythronium,"bulbs,young leaves",1.0,2,1
0119_a,Clintonia borealis,young leaves,1.0,1,2
0119_b,Symplocarpus foetidus,"roots,youngest leaves",1.0,2,2
0120_a,Oxyria digyna,leaves,1.0,1,2
0120_b,Dodecatheon,"greens,shoots",1.0,2,1
0121_a,Plantago major,"leaves,flower buds,seeds",1.0,3,2
0121_a,Plantago rugelii,"leaves,flower buds,seeds",1.0,3,2
0121_b,Plantago lanceolata,"leaves,flowerbuds,seeds",0.0,3,2
0122_b,Viola sororia,"greens,flowers,stems",1.0,3,2
0123_a,Viola sagittata,"young leaves,peduncles,flowers",1.0,3,2
0123_b,Viola pedata,"leaves,flowers,flower stalks",1.0,3,2
0124_a,Taraxacum officinale,"roots,heart,leaves,flower stalks,flowers",0.0,5,2
0124_b,Krigia dandelion,"tubers,greens,flowers",1.0,3,2
0125_a,Pyrrhopappus grandiflorus,"tubers,young leaves,scapes",1.0,3,2
0125_b,Hypochaeris radicata,"leaves,shoots",1.0,2,2
0126_a,Leontodon autumnalis,leaves,1.0,1,2
0126_b,Oenothera caespitosa,"roots,young leaves,flowers,flower buds",1.0,4,2
0127_a,Bellis perennis,"leaves,flowers",1.0,2,2
0127_a,Saxifraga pensylvanica,"shoots,young leaves",1.0,2,2
0127_b,Saxifraga micranthidifolia,"greens,shoots",1.0,2,2
0128_a,Tussilago farfara,"shoots,leaves",1.0,2,2
0128_b,Petasites frigidus,"leaves,shoots",1.0,2,2
0129_a,Hydrocotyle bonariensis,"leaves (tea),",1.0,2,2
0129_b,Centella erecta,leaves,1.0,1,2
0130_a,Aralia nudicaulis,"rhizomes,young shoots,berries",0.0,3,2
0131_a,Trifolium repens,"leaves,flowers",1.0,2,2
0131_a,Lomatium foeniculaceum,"roots,young leaves,stems,flowers",1.0,4,2
0132_a,Musineon tenuifolium,"leaves,roots",1.0,2,2
0132_b,Cymopterus acaulis,"roots,young leaves",1.0,2,2
0133_a,Cymopterus montanus,"roots,leaves",1.0,2,2
0133_b,Potentilla anserina,rhizomes,1.0,1,2
0134_a,Fragaria,berries,1.0,1,1
0134_a,Fragaria virginiana,berries,1.0,1,2
0134_a,Fragaria vesca,berries,1.0,1,2
0134_b,Oxalis violacea,"bulb,taproot,leaves,flowers,fruit",1.0,5,2
0135_a,Pediomelum hypogaeum,roots,1.0,1,2
0135_b,Pediomelum subacaule,root,1.0,1,2
0136_b,Anemonella thalictroides,tubers,1.0,1,2
0137_a,Mollugo verticillata,leaves,1.0,1,2
0137_b,Krigia caespitosa,"leaves,stems",1.0,2,2
0138_a,Salvia lyrata,shoots,1.0,1,2
0138_b,Silphium perfoliatum,"shoots,petioles,leaves",1.0,3,2
0139_a,Valerianella,leaves,1.0,1,1
0139_b,Claytonia,"tubers,greens",1.0,2,1
0140_a,Prunella vulgaris,young leaves,1.0,1,2
0140_b,Silene vulgaris,"leaves,stems",1.0,2,2
0140_b,Silene cserii,"leaves,stems",1.0,2,2
0141_a,Silene alba,young leaves,1.0,1,2
0141_b,Podophyllum peltatum,pulp,1.0,1,2
0142_a,Dentaria laciniata,"tubers,greens",1.0,2,2
0142_b,Dentaria multifida,"tubers,greens",0.0,2,2
0142_b,Dentaria heterophylla,"tubers,greens",0.0,2,2
0143_a,Dentaria diphylla,"rhizomes,greens",1.0,2,2
0144_a,Rumex acetosella,leaves,1.0,1,2
0144_b,Rumex hastatalus,leaves,0.0,1,2
0145_a,Rumex acetosa,leaves,1.0,1,2
0145_b,Ficaria verna,"tubers,young leaves",1.0,2,2
0146_a,Bistorta vivipara,"rhizomes,young leaves,bulblets",1.0,3,2
0146_b,Rumex,"young leaves,young petioles,stems,seeds",1.0,4,1
0146_b,Rumex crispus,"young leaves,young petioles,stems,seeds",1.0,4,2
0147_a,Rumex longifolius,"young leaves,young petioles,stems,seeds",0.0,4,2
0147_b,Rumex fueginus,"young leaves,young petioles,stems,seeds",0.0,4,2
0147_b,Rumex patientia,"young leaves,young petioles,stems,seeds",0.0,4,2
0147_b,Rumex obtusifolius,"young leaves,young petioles,stems,seeds",0.0,4,2
0148_a,Mertensia virginica,young leaves,1.0,1,2
0148_b,Mertensia paniculata,greens,1.0,1,2
0149_a,Mertensia maritima,"leaves,stem tips",1.0,2,2
0149_b,Solidago sempervirens,"leaves,shoots",1.0,2,2
0150_a,Symphtum officinale,"young leaves,flower buds,flowers",1.0,3,2
0150_b,Arctium,"roots,stalks,petioles",1.0,3,1
0151_a,Arctium lappa,"roots,stalks,petioles",0.0,3,2
0151_a,Arctium minus,"roots,stalks,petioles",0.0,3,2
0151_a,Arctium tomentosa,"roots,stalks,petioles",0.0,3,2
0151_b,Aster novae-angliae,"leaves,stem tips",1.0,2,2
0152_a,Berteroa incana,"shoots,seeds",1.0,2,2
0153_a,Campanula rotundifolia,"leaves,shoots,flowers",1.0,3,2
0153_b,Campanula americana,"shoots,leaves,flower buds,flowers",0.0,4,2
0154_a,Campanula rapunculoides,"roots,leaves,shoots,flowers,flower buds",1.0,5,2
0154_b,Velns balsamifidus,"roots,young leaves,shoots",1.0,3,2
0155_a,Caltha palustris,"young leaves,young stem",1.0,2,2
0155_b,Cochlearia,"leaves,stems",1.0,2,1
0156_a,Cardamine bulbosa,"tuber,leaves,stem,flowers,seeds",1.0,5,2
0156_b,Thlaspi arvense,"leaves,flower buds,seeds",1.0,3,2
0156_b,Thlaspi alliaceum,"leaves,flower buds,seeds",1.0,3,2
0157_a,Armoracia rusticana,"young leaves,shoots,root",1.0,3,2
0157_b,Boechera laevigata,"leaves,shoots,buds",1.0,3,2
0158_a,Hesperis matronalis,"leaves,shoots,flower buds,flower",1.0,4,2
0158_b,Cardaria draba,"shoots,leafy tops,flower bud clusters",1.0,3,2
0159_a,Alliaria petiolata,"root,leaves,shoots",1.0,3,2
0159_b,Eryngium yuccifolium,young shoots,1.0,1,2
0160_a,Chenopodium capitatum,"greens,fruits,flowers",1.0,3,2
0160_b,Oenothera biennis,"roots,leaves,shoots,flower buds,flowers,seeds",0.0,6,2
0161_a,Evening primrose,"leaves,seeds,shoots,flower buds",1.0,4,2
0161_b,Silphium terebinthinaceum,shoots,1.0,1,2
0162_a,Aster macrophyllus,leaves,1.0,1,2
0162_b,Viola canadensis,young leaves,1.0,1,2
0163_a,Viola pubescens,young leaves,0.0,1,2
0164_a,Prenanthes alba,"leaves,shoots",1.0,2,2
0164_b,Lygodesmia texana,"leaves,stems,peduncles,flower buds",1.0,4,2
0165_a,Scorzonera laciniata,"roots,young leaves,shoots,flower buds",1.0,4,2
0165_b,Cirsium,"taproot,shoots,midribs,flowerbuds",1.0,4,1
0165_b,Carduus,"taproot,shoots,midribs,flowerbuds",1.0,4,1
0165_b,Onopordum,"taproot,shoots,midribs,flowerbuds",1.0,4,1
0165_b,Silybum,"taproot,shoots,midribs,flowerbuds",1.0,4,1
0165_b,Cirsium discolor,"taproot,shoots,midribs,flowerbuds",1.0,4,2
0166_a,Cirsium altissimum,"taproot,shoots,midribs,flowerbuds",0.0,4,2
0166_a,Cirsium horridulum,"taproot,shoots,midribs,flowerbuds",0.0,4,2
0166_b,Cirsium vulgare,"taproot,shoots,midribs,flowerbuds",0.0,4,2
0166_b,Cirsium muticum,"midrib,taproot",0.0,2,2
0166_b,Onopordum acanthium,root,0.0,1,2
0167_a,Carduus nutans,"root,midrib,flower heart",0.0,3,2
0167_a,Silybum marianum,"midrib,root",0.0,2,2
0167_b,Lapsana communis,"young leaves,tender shoots",1.0,2,2
0168_a,Youngia japonica,"stems,young leaves",1.0,2,2
0168_b,Pyrrhopappus carolinianus,young leaves,1.0,1,2
0169_a,Cichorium intybus,"roots,young spring leaves",1.0,2,2
0169_b,Sonchus oleroceus,"leaves,stems",1.0,2,2
0170_a,Sonchus asper,"stalks,leaves",1.0,2,2
0170_a,Sonchus arvensis,tender leaves,1.0,1,2
0170_b,Lactuca,"tender leaves,shoots",1.0,2,1
0170_b,Lactuca canadensis,"tender leaves,shoots",1.0,2,2
0171_a,Lactuca hirsuta,"tender leaves,shoots",0.0,2,2
0171_b,Lactuca floridana,"leaves,shoots",0.0,2,2
0172_a,Lactuca biennis,"tender leaves, stem",0.0,2,2
0172_b,Lactuca pulchella,"tender leaves,stems",0.0,2,2
0172_b,Lactuca saligna,"tender leaves,stems",0.0,2,2
0173_a,Lactuca serriola,"tender leaves,stem",0.0,2,2
0173_b,Lactuca ludoviciana,"tender leaves,stem",0.0,2,2
0175_a,Castilleja coccinea,"tender tops,flowers",1.0,2,2
0175_a,Rudbeckia laciniata,"leaves,shoots",1.0,2,2
0175_b,Orobanchocede lobatum,young leaves,1.0,1,2
0176_a,Monolepis nuttalliana,"tender stems,tender leaves",1.0,2,2
0176_a,Callirhoe involucrata,"roots,young leaves,flowers,immature fruits",1.0,4,2
0176_b,Populus mucilaginousa,"roots,young leaves,immature fruits",1.0,3,2
0177_a,Callirhoe pedata,"roots,young leaves,shoots,flower buds",1.0,4,2
0177_b,Malva neglecta,"young leaves,immature fruits",1.0,2,2
0178_a,Malva moschata,"young leaves,flower bud clusters",1.0,2,2
0178_b,Malva sylvestris,"greens,flowers,buds,immature fruits",1.0,4,2
0179_a,Napaea dioica,"roots, young petioles, peeled shoots, leaves, flowers, flower buds",1.0,6,2
0179_b,Hydrophyllum appendiculatum,"leaves,young shoots",1.0,2,2
0180_a,Hydrophyllum canadense,"leaves,shoots",0.0,2,2
0180_a,Hydrophyllum virginianum,"young leaves,shoots",0.0,2,2
0180_b,Hydrophyllum macrophyllum,"young leaves,shoots",1.0,2,2
0181_a,Viola bicolor,"leaves,stems,flowers",1.0,3,2
0181_b,Silphium laciniatum,"shoots,sap",1.0,2,2
0182_a,Pedicularis canadensis,"young shoots,leaves",1.0,2,2
0182_b,Chrysanthemum leucanthemum,"leaves,stem tips",1.0,2,2
0183_a,Oenothera laciniata,"stem tips,flowers,flower buds",1.0,3,2
0183_b,Diplotaxis muralis,leaves,1.0,1,2
0184_a,Rorippa palustris,"leaves,shoots",1.0,2,2
0184_b,Rorippa sylvestris,greens,1.0,1,2
0185_a,Barbarea vulgaris,"shoots,flower buds,leaves",1.0,3,2
0185_b,Barbarea verna,"shoots,flower buds,leaves",1.0,3,2
0186_a,Chorispora tenella,"stem,leaves",1.0,2,2
0186_b,Capsella bursa-pastoris,"roots,leaves,shoots",1.0,3,2
0187_a,Lepidium campestre,"young leaves,stem tips,seedpods,seeds",1.0,4,2
0187_b,Lepidium virginicum,"leaves,shoots,flower buds,seeds",1.0,4,2
0188_a,Arabis glabra,"shoots,leaves",1.0,2,2
0188_b,Brassica rapa,"greens,flower bud clusters,shoot tips",1.0,3,2
0189_a,Rapistrum cabbage,"leaves,tops,shoots",1.0,3,2
0189_b,Bunias orientalis,"young leaves,tender shoots,flower bud clusters",1.0,3,2
0190_a,Brassica nigra,"leaves,tender tips,seeds",0.0,3,2
0190_b,Sinapis alba,"leaves,tender tips,seeds",1.0,3,2
0191_a,Sisymbrium officinale,"leaves,stems",1.0,2,2
0191_b,Sisymbrium loeselii,"leaves,stem tips",1.0,2,2
0192_a,Sisymbrium altissimum,"leaves,flower buds,stems",1.0,3,2
0192_b,Coincya monensis,"leaves,stem,flowers,flower buds,seeds",1.0,5,2
0193_a,Erucastrum gallicum,"leaves,stem tips",1.0,2,2
0193_b,Sinapis arvensis,"leaves,stems,flower buds,flowers,seeds",1.0,5,2
0194_a,Raphanus raphanistrum,"leaves,stem,flower buds,flowers,seeds",1.0,5,2
0195_a,Heracleum lanatum,"roots,stalks,leaves,flower buds, fruts,seeds",1.0,6,2
0195_b,Heracleum mantegazzianum,"leaves,stems",0.0,2,2
0196_a,Cryptotaenia canadensis,"roots, leaves, spring shoots",1.0,3,2
0196_b,Sanicula,"young greens,sheets",1.0,2,1
0197_a,Oxypolis rigidior,tubers,0.0,1,2
0198_a,Parsnip sativa,taproots,1.0,1,2
0198_b,Pimpinella saxifraga,"tender stems,tender leaves",0.0,2,2
0199_a,Pimpinella anisum,"stems,leaves",1.0,2,2
0199_b,Cardamine pratensis,"tubers,leaves,stems",1.0,3,2
0200_a,Cardamine hirsuta,greens,1.0,1,2
0200_b,Cardamine pensylvanica,"tender greens,tender leafy stems",1.0,2,2
0201_a,Cardamine imaptiens,"leaves,stems,flowers,flower buds",1.0,4,2
0201_b,Lepidium didymum,"leaves,stems,flowers,flower buds",1.0,4,2
0202_a,Duchesnea indica,berries,1.0,1,2
0202_b,Trifolium pratense,"flowers,tender young leaves,stem tips",1.0,3,2
0203_a,Phacelia dubia,young greens,1.0,1,2
0203_b,Phacelia bipinnatifida,"young leaves,shoots",1.0,2,2
0204_a,Geum rivale,rhizomes,1.0,1,2
0205_a,Taenidia integerrima,"roots,leaves,shoots,seeds",1.0,4,2
0205_b,Ligusticum canadense,"root,young greens,stems",0.0,3,2
0206_a,American lovage,"root,young greens,young stems",1.0,3,2
0206_b,Oenanthe javanica,"shoots,leaves",1.0,2,2
0207_a,Ligusticum scoticum,"roots,stem,greens",0.0,3,2
0207_b,Dysphania ambrosioides,"roots,young stems and greens,leaves",1.0,3,2
0208_a,Angelica lucida,"young leaves, petioles, shoots, seeds",1.0,4,2
0208_b,Angelica atropurpurea,"heart,young stalks,young stems,seeds",0.0,4,2
0209_b,Angelica triquinata,"young leaves,petioles,stems,seeds",0.0,4,2
0210_a,Angelica venenosa,"leaves,shoots",1.0,2,2
0210_b,Angelica sylvestris,young leaves,1.0,1,2
0211_a,Aegopodium podagraria,"young leaves,shoots,petioles",1.0,3,2
